species,longitude,latitude
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.62219,-26.81731
Boana_leptolineata,-50.58333,-29.43333
Boana_leptolineata,-50.58333,-29.43333
Boana_leptolineata,-50.58333,-29.43333
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58333,-29.44833
Boana_leptolineata,-50.58,-29.44667
Boana_leptolineata,-50.56667,-29.43333
Boana_leptolineata,-50.56667,-29.43333
Boana_leptolineata,-50.56667,-29.43333
Boana_leptolineata,-50.56667,-29.43333
Boana_leptolineata,-50.55778,-29.45111
Boana_leptolineata,-50.55778,-29.45111
Boana_leptolineata,-50.44961,-29.4012
Boana_leptolineata,-50.44961,-29.4012
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.37694,-29.42139
Boana_leptolineata,-50.34335,-27.80837
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32583,-27.81611
Boana_leptolineata,-50.32252,-29.50146
Boana_leptolineata,-50.29217,-29.40606
